Gene	SRR4289769	SRR4289770	SRR4289771	SRR4289772	SRR4289773	SRR4289774	SRR4289775	SRR4289776	SRR4289777	SRR4289778	SRR4289779	SRR4289780
PA4253	1433.4414	992.94226	1873.3037	1201.7501	1286.786	1561.1952	694.6699	446.92676	719.9459	618.2928	725.8628	649.3821
PA4254	561.3852	437.27667	667.1374	439.07913	569.6824	586.1236	289.25055	199.00063	314.13022	214.90495	262.11255	181.64334
PA4255	317.28748	195.6266	398.71436	281.67334	293.50143	410.8865	69.37859	47.888416	102.2255	57.548164	66.48769	75.12026
PA4256	1109.8586	818.41876	1570.1443	1036.3118	976.6592	1253.4829	343.27878	306.2869	423.0263	306.5957	371.64572	335.38474
PA4257	2518.6836	1778.3945	3314.7192	1804.0778	2254.117	3047.634	1186.1019	1039.165	1209.1923	1000.97156	1209.2274	1278.6879
PA4258	1385.0093	978.3686	1943.6604	1031.9878	1131.6123	1405.8937	535.5872	312.3084	452.25534	443.82666	560.88995	351.54016
PA4259	2882.4973	2006.1174	5064.8027	2343.7104	2307.917	3371.3252	540.848	475.33804	454.8496	395.30228	585.4351	477.10556
PA4260	1594.7009	1109.3033	2032.5342	1376.2235	1395.1637	1955.5664	1276.847	1356.8497	1506.82	1175.8055	1414.3298	1499.5891
PA4261	500.1948	329.74368	808.9865	435.34946	407.03162	647.8005	150.96738	103.84031	165.81155	130.83302	153.69261	134.34108
PA4262	830.30176	546.8843	1148.6495	794.58923	622.85333	859.4888	327.66074	243.69661	400.486	303.8494	306.2555	321.73328
PA4263	1818.6953	1342.3817	2589.769	1550.0599	1474.0288	2186.728	2125.2456	1519.9	2577.553	1986.3839	2015.4352	1981.1566
PA4264	2746.7766	2161.232	4173.832	2040.4049	2181.5723	3284.0073	2404.9756	1618.8575	3440.638	2559.9412	2295.2244	1864.814
PA4265	5729.2524	4079.6523	8095.7764	4301.139	4783.6943	6523.175	3231.5842	2178.32	3972.3994	3033.3267	3013.987	2331.8586
PA4266	8075.748	5177.7153	11201.562	6652.211	6413.9565	8164.785	2124.7253	1510.728	2309.2986	1941.1456	2097.9456	1733.4753
PA4267	1892.3936	1220.7352	2236.6719	1389.1833	1488.3962	2036.9617	1127.8524	803.0305	1241.2671	971.6069	1056.0444	838.643
PA4268	3545.178	2468.4583	4022.3306	2174.5493	2800.5535	3658.4502	2931.6077	2063.4795	3024.928	2599.0376	3087.4731	2359.4814
PA4269	13448.974	10055.087	20063.732	13290.525	13265.882	15694.533	2520.9333	2126.908	2853.4536	2615.038	2820.9175	2685.6694
PA4270	8494.781	6202.0415	12279.272	7233.949	7975.0957	9688.04	2070.4119	1638.0614	2279.262	1991.1018	2127.3518	1890.5331
PA4271	3079.6758	2168.5532	4630.7075	2539.591	2815.0405	3228.3916	905.4054	568.2734	1289.1365	957.6931	807.0695	788.21545
PA4272	1014.35144	686.104	1446.1979	891.55963	934.63306	1254.4554	563.7676	536.6774	734.81006	443.57312	577.5454	583.5744
PA4273	2625.023	1814.0698	2989.737	1839.9999	2316.4875	2739.5764	3600.0369	2807.764	2596.0527	2832.708	3689.0383	3223.0862
